county_name,state_code,district_code
Campbell,TN,TNE
Campbell,VA,VAW
Campbell,WY,WYX
Canadian,OK,OKW
Candler,GA,GAS
Cannon,TN,TNM
Canyon,ID,IDX
"Cape Girardeau",MO,MOE
"Cape May",NJ,NJX
Carbon,MT,MTX
Carbon,PA,PAM
Carbon,UT,UTX
Carbon,WY,WYX
Caribou,ID,IDX
Carlisle,KY,KYW
Carlton,MN,MNX
Caroline,MD,MDX
Caroline,VA,VAE
Carroll,AR,ARW
Carroll,GA,GAN
Carroll,IA,IAN
Carroll,IL,ILN
Carroll,IN,INN
Carroll,KY,KYE
Carroll,MD,MDX
Carroll,MO,MOW
Carroll,MS,MSN
Carroll,NH,NHX
Carroll,OH,OHN
Carroll,TN,TNW
Carroll,VA,VAW
Carson,TX,TXN
"Carson City",NV,NVX
Carter,KY,KYE
Carter,MO,MOE
Carter,MT,MTX
Carter,OK,OKE
Carter,TN,TNE
Carteret,NC,NCE
Carver,MN,MNX
Cascade,MT,MTX
Casey,KY,KYW
Cass,IA,IAS
Cass,IL,ILC
Cass,IN,INN
Cass,MI,MIW
Cass,MN,MNX
Cass,MO,MOW
Cass,ND,NDX
Cass,NE,NEX
Cass,TX,TXE
Cassia,ID,IDX
Castro,TX,TXN
Caswell,NC,NCM
Catahoula,LA,LAW
Catawba,NC,NCW
Catoosa,GA,GAN
Catron,NM,NMX
Cattaraugus,NY,NYW
Cavalier,ND,NDX
Cayuga,NY,NYN
Cecil,MD,MDX
Cedar,IA,IAN
Cedar,MO,MOW
Cedar,NE,NEX
Centre,PA,PAM
"Cerro Gordo",IA,IAN
Chaffee,CO,COX
Chambers,AL,ALM
Chambers,TX,TXS
Champaign,IL,ILC
Champaign,OH,OHS
Chariton,MO,MOE
Charles,MD,MDX
"Charles City",VA,VAE
"Charles Mix",SD,SDX
Charleston,SC,SCX
Charlevoix,MI,MIW
Charlotte,FL,FLM
Charlotte,VA,VAW
"Charlottesville City",VA,VAW
Charlton,GA,GAS
Chase,KS,KSX
Chase,NE,NEX
Chatham,GA,GAS
Chatham,NC,NCM
Chattahoochee,GA,GAM
Chattooga,GA,GAN
Chautauqua,KS,KSX
Chautauqua,NY,NYW
Chaves,NM,NMX
Cheatham,TN,TNM
Cheboygan,MI,MIE
Chelan,WA,WAE
Chemung,NY,NYW
Chenango,NY,NYN
Cherokee,AL,ALN
Cherokee,GA,GAN
Cherokee,IA,IAN
Cherokee,KS,KSX
Cherokee,NC,NCW
Cherokee,OK,OKE
Cherokee,SC,SCX
Cherokee,TX,TXE
Cherry,NE,NEX
